priority,file_type,file,specific_visual_problem,recommended_design_solution,status
"medium","Markdown draft","src/content/knowledge/health topics/General/caffeine-toxicity.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/cataracts-macular-degeneration.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/celiac-disease.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/chilblains.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/cholesterol-deposits.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/cholesterol-mgmt.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/chronic-fatigue-syndrome.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/chronic-fatigue.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/ckd-dialysis-diet.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/cognitive-decline.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/cold-sores.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/constipation.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/cortisol-balance.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/crohns-uc.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/cystic-fibrosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dandruff.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dark-neckskin-tags.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dehydration.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dental-erosion.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dental-fluorosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/depression.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/detox-rejuvenation.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/diabetes-reversal.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/diabetic-neuropathy.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/diabetic-retinopathy.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/diverticulitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dka-prevention.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dry-eye.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/dvt.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/eczema.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/endometrial-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/endometriosis-pain.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/eoe.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/epilepsy-diet-cured.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/erectile-dysfunction.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/esophageal-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/esophagitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/eye-twitches.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/fatty-liver-reversal.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/fatty-liver.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/fatty-pancreas.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/fertility-hormone-support.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/fetal-alcohol-syndrome.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/fibromyalgia-pain-management.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/folate-deficiency.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/frostbite.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/g6pd-deficiency.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gallstones.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gastritis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/geriatric-strength-nutrition.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gestational-diabetes.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gluten-sensitivity.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gout-uric-acid-reversal.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gout.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gum-disease.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/gut-health-acidity.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/h-pylori-infection.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/hair-growth-strength.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/hair-loss.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/hashimotos.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/healthy-aging-solutions.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/heart-attack.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/heart-disease.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/heart-health.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/heatstroke.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/heelarch-pain.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/hemorrhoids.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/hereditary-fructose-intolerance.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/high-blood-sugar.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/high-bp.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/high-cholesterol.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/histamine-intolerance-allergy.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/histamine-intolerance.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/hormonal-imbalance.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/hypertension-management.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/hyperthyroid-protocol.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/hypothermia.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/ibs-ibd-gut-repair.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/ibs.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/immunity-boost.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/infertility.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/insomnia.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/insulin-resistance-mgmt.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/interstitial-cystitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/iron-deficiency.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/iron-overload.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/jet-lag-shift-work.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/jet-lag.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/joint-pain-relief.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/kid-immunity-growth.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/kidney-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/kidney-health-diet.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/kidney-stones.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/kwashiorkor.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/lactose-intolerance.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/leaky-gut.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/leg-ulcers.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/listeria-toxo-trichinosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/liver-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/liver-detoxification-pathways.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
